title,genres
"Wonderful Ice Cream Suit, The",Children|Comedy|Fantasy
One Night at McCool's,Comedy
Dolan's Cadillac,Crime|Thriller
"Crew, The",Drama|Thriller
Melissa P.,Drama
Ferris Bueller's Day Off,Comedy
I Love You Too (Ik ook Van Jou),Drama|Romance
"Eye, The (Gin gwai) (Jian gui)",Thriller
Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima),Action|Adventure|Drama
"Night Strangler, The",Crime|Horror|Mystery
Fixed Bayonets!,Drama|War
"Walk, Don't Run",Comedy|Romance
Bloodbath at the House of Death,Comedy|Horror
Pulse,Action|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller
Tony,Drama|Horror|Thriller
Over the Hedge,Adventure|Animation|Children|Comedy
Forbidden,Drama|Romance
Garbage Warrior,Documentary
Narc,Crime|Drama|Thriller
"Right Kind of Wrong, The",Comedy|Romance
My Left Foot,Drama
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX
Thirst (Bakjwi),Drama|Horror
Guardian Angel,Action|Drama|Thriller
Long Hello and Short Goodbye,Comedy|Thriller
Venus Wars (Venus Senki),Action|Animation|Sci-Fi|War
Hello Herman,Drama
Cousin Bette,Comedy
Square Dance,Drama|Romance
"Alley Cats, The",Drama
American Boy: A Profile of: Steven Prince,Documentary
Strike Up the Band,Comedy|Musical|Romance
Warrior of the Lost World,Action|Sci-Fi
"Softening of the Egg, The (Ägget är löst!)",Comedy|Drama
"Little Princess, A",Children|Drama
Raise the Titanic,Drama|Thriller
"Expendables 2, The",Action|Adventure
Life as We Know It,Comedy|Romance
Mandela: Long Walk to Freedom,Drama
Roman Holiday,Comedy|Drama|Romance
Mahjong (Ma jiang),Comedy|Drama
Monica Z,Drama
"Cave of the Yellow Dog, The",Drama
"Saint in London, The",Action|Comedy|Crime|Drama|Mystery
Bullet to the Head,Action|Crime|Film-Noir
The Natural Love,Documentary
Ice Men,Drama
Battlefield Baseball (Jigoku kôshien),Action|Horror|Musical
Hank and Mike,Comedy
Radioactive Dreams,Action|Comedy|Film-Noir|Musical|Sci-Fi
Whirlygirl,Drama|Romance
Invitation to Happiness,Drama|Romance
Young Cassidy,Drama
My Perestroika,Documentary
"Treasure of the Sierra Madre, The",Action|Adventure|Drama|Western
"Paper Chase, The",Drama
"Walk in the Clouds, A",Drama|Romance
"Thousand Acres, A",Drama
Hurt,Drama|Horror|Thriller
God's Country,Documentary
Equinox,Drama|Mystery|Thriller
Krrish,Adventure|Musical|Romance|Sci-Fi
"Front Line, The (Go-ji-jeon)",Drama|War
Lagaan: Once Upon a Time in India,Comedy|Drama|Musical|Romance
Parkland,Drama
Phantom (O Fantasma),Drama
How Hitler Lost the War,Documentary
"Super Cops, The",Action|Comedy|Crime|Drama|Thriller
Labyrinth of Lies,Drama
Immensee,Drama
Silvestre,Drama
Blue Collar,Crime|Drama
Someone's Gaze,Animation
Jingle All the Way,Children|Comedy
The Walking Hills,Western
Storm Warning,Crime|Drama
Snakes and Earrings (Hebi ni piasu),Drama|Thriller
"Mask of Zorro, The",Action|Comedy|Romance
"Iran Job, The",Documentary
Sniper 2,Action|Adventure|War
"Heart Is Deceitful Above All Things, The",Drama
The Man Who Wouldn't Die,Crime|Drama|Thriller
Higher Learning,Drama
More About the Children of Noisy Village (a.k.a. More About the Children of Bullerby Village) (Mer om oss barn i Bullerbyn),Children
Barbie: A Fashion Fairytale,Animation|Children
"Man from Elysian Fields, The",Drama
Don 2,Action|Crime|Mystery|Romance|Thriller
A Spell to Ward Off the Darkness,Documentary
"Client List, The",Drama
Irreconcilable Differences,Comedy|Drama|Romance
"Aviator, The",Adventure
Mon Oncle (My Uncle),Comedy
God Grew Tired of Us,Documentary|Drama
Hedda Gabler,Drama
Female Convict Scorpion: Jailhouse 41 (Joshuu sasori: Dai-41 zakkyo-bô),Crime|Drama|Thriller
Mr. Accident,Comedy
Clash of the Titans,Action|Adventure|Fantasy|Romance
"Winning Team, The",Drama|Romance
Killjoy,Horror
Spies Like Us,Comedy
"Mating of Millie, The",Comedy|Romance
"Moderns, The",Drama
California Suite,Comedy
Zulu,Action|Drama|War
Gitmek: My Marlon and Brando (Gitmek: Benim Marlon ve Brandom),Drama|Romance|War
"Kentuckian, The",Drama|Western
Were the World Mine,Adventure|Fantasy|Musical|Romance
Blinkity Blank,Animation
Sands of Iwo Jima,Action|Drama|Romance|War
Scooby-Doo! Abracadabra-Doo,Animation|Children|Mystery
Being Human,Drama
Dare,Drama
City of Ember,Adventure|Children|Sci-Fi
"Horseman, The",Crime|Thriller
Seven Invisible Men (Septyni nematomi zmones),Drama
Garbage Prince,Comedy|Drama|Romance
Amelia,Drama
Hollow Man II,Action|Horror|Sci-Fi|Thriller
Miracle in Cell No. 7,Comedy|Drama
American Raspberry (Prime Time) (Funny America),Comedy
The Seventh Sin,Drama
Täynnä Tarmoa,Documentary
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),Documentary
Ingenious,Comedy|Drama|Romance
American Ninja 5,Action
Gimme Shelter,Documentary
Wit,Drama
"Act of Seeing with One's Own Eyes, The ",Documentary
"Black Dahlia, The",Crime|Drama|Mystery|Thriller
Direct Action,Action|Crime|Thriller
Azumi,Action|Adventure|Drama|Thriller
In the Shadow of the Machine,Documentary
Places in the Heart,Drama
"Act of Seeing with One's Own Eyes, The ",Documentary
Melinda and Melinda,Comedy|Drama
Rob the Mob,Crime|Drama
Evil Toons,Comedy|Horror
Cake,Drama
Drillbit Taylor,Comedy
Operation Petticoat,Action|Comedy|Romance|War
Strange Voyage,(no genres listed)
The Fuller Brush Girl,Comedy
"Love Guru, The",Comedy
X Games 3D: The Movie,Documentary
Big Girls Don't Cry... They Get Even (Stepkids),Comedy
"Mighty Heart, A",Drama|Thriller
"Wiz, The",Adventure|Children|Comedy|Fantasy|Musical
Jim Jefferies: I Swear to God,Comedy
Dogma,Adventure|Comedy|Fantasy
Fed Up,Documentary
Duel in the Sun,Western
Morphia (Morfiy),Drama
Night Train,Drama|Mystery|Thriller
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",Drama
"Return to Homs, The",Documentary
"Great Happiness Space, The: Tale of an Osaka Love Thief",Documentary
Queen Sized,Comedy|Drama
Head Games,Documentary
The Adventures of Tartu,Drama|Romance|Thriller|War
Hotel for Dogs,Adventure|Children|Comedy
Gabbeh,Drama
Clerks II,Comedy
Death and the Maiden,Drama|Thriller
Skeleton Man,Action|Horror
The Reverse,Comedy|Drama|Romance|Thriller
College Road Trip,Comedy
"Devil's Advocate, The",Drama|Mystery|Thriller
Snake-Crane Secret (She hao dan xin zhen jiu zhou),Action|Drama
Sincerely Yours,Drama|Musical
Ciao Manhattan (Ciao! Manhattan),Documentary|Drama|Romance
"Candidate, The",Drama
Halloweentown II: Kalabar's Revenge,Adventure|Children|Comedy|Drama|Fantasy
"Hen, his wife",(no genres listed)
"Same Love, Same Rain (El mismo amor, la misma lluvia)",Comedy|Drama|Romance
Calling Dr. Death,Mystery
Jesse Stone: Sea Change,Crime|Drama
Maternal Halfbrothers (Braca po materi),Drama
Cotton Comes to Harlem,Action|Comedy
À nous la liberté (Freedom for Us),Comedy|Musical
Cesar Chavez,Drama
"Big Trail, The",Adventure|Romance|Western
Apollo Zero,Documentary
Eraser,Action|Drama|Thriller
Sometimes They Come Back... Again,Horror
Lethal Weapon 3,Action|Comedy|Crime|Drama
"Holding, The",Horror|Thriller
Play it to the Bone,Comedy|Drama
In Too Deep,Action|Thriller
Wadjda,Drama
Pot v raj,(no genres listed)
The Bronze,Comedy|Drama
Coogan's Bluff,Crime
Vampire's Kiss,Comedy|Fantasy|Horror
Myn Bala: Warriors of the Steppe,Action|Adventure|Drama
Bad Blood (Mauvais sang),Crime|Drama|Romance
When a Man Loves a Woman,Drama|Romance
"Deadly Tower, The",Action|Drama|Thriller
Ichi the Killer (Koroshiya 1),Action|Comedy|Crime|Drama|Horror|Thriller
Workingman's Death,Documentary
Buddies (Colegas),Adventure|Comedy
Adventures of Kitty O'Day (Kitty O'Day Comes Through),Comedy|Crime|Mystery|Romance
"Bonheur, Le",Drama
Thurgood,Drama
"River Wild, The",Action|Thriller
Smiley Face,Comedy
Control (Kontroll),Comedy|Crime|Drama|Mystery
Zatoichi's Flashing Sword (Zatôichi abare tako) (Zatôichi 7),Action|Drama
Macbeth in Manhattan,Drama
White House Down,Action|Drama|Thriller|IMAX
Murder Ahoy,Comedy|Crime|Drama|Mystery
Time to Kill (Tempo di uccidere),Drama|War
"Wackiest Ship in the Army, The",Comedy|War
10 Years,Comedy|Drama|Romance
Treed Murray,Drama
Deep Impact,Drama|Sci-Fi|Thriller
Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Action|Adventure|Animation|Comedy|Crime|Mystery
Byzantium,Drama|Fantasy|Thriller
Shirin,Drama
Journey for Margaret,Drama|War
Bounty Killer,Action|Sci-Fi|Thriller
Devil in the Flesh,Drama|Romance
Hell Drivers,Drama
"Sierra, La",Documentary
Fright to the Finish,(no genres listed)
Night at the Museum,Action|Comedy|Fantasy|IMAX
Air Guitar Nation,Comedy|Documentary|Musical
Enigma,Romance|Thriller
In a World...,Comedy
About Alex,Drama
Five Star Final,Drama
"That Night in Varennes (Nuit de Varennes, La)",Drama
Après lui,Drama
Guilty by Suspicion,Drama
Bambi Meets Godzilla,Animation|Comedy
Beyond the Black Rainbow,Mystery|Sci-Fi
Cold Comes the Night,Crime|Drama|Thriller
American Roulette,Thriller
Mannequin 2: On the Move,Comedy|Fantasy|Romance
"Legend of the 7 Golden Vampires, The",Action|Horror
+1,Sci-Fi|Thriller
Biker Boyz,Action|Crime|Drama
Genocide (Konchû daisensô),Horror|Sci-Fi
"Silver Stallion (Silver Brumpy, The)",Drama
When Worlds Collide,Sci-Fi
Son of Paleface,Action|Comedy|Romance|Western
Easy Money 2 (Snabba cash II),Action|Crime|Drama
"Cat in Paris, A (Une vie de chat)",Animation|Crime|Mystery
"Chase, The",Action|Adventure|Comedy|Crime|Romance|Thriller
"Blue Max, The",Adventure|Drama|War
Satyricon,Drama
The Mummy's Shroud,Horror
"Hot Dog Program, A",Documentary
Orca: The Killer Whale,Action|Drama|Horror|Thriller
"Art of Negative Thinking, The (Kunsten å tenke negativt)",Comedy|Drama
Ouija,Horror
Forks Over Knives,Documentary
"Pope of Greenwich Village, The",Drama
Do the Right Thing,Drama
"Player, The",Comedy|Crime|Drama
Silver City,Comedy|Drama|Mystery|Thriller
"Incredible Hulk, The",Action|Sci-Fi
Beefcake,Drama
"Streetcar Named Desire, A",Drama
Goodbye to Language 3D,Drama
"Last Angry Man, The",Drama
"War at Home, The",Drama
"Inner Life of Martin Frost, The",Comedy|Drama
Green Lantern: First Flight,Action|Adventure|Animation|Fantasy|Sci-Fi
Tales That Witness Madness,Comedy|Horror|Mystery|Sci-Fi
Nothing Like the Holidays,Comedy|Drama|Romance
"Girl from Jones Beach, The",Comedy
Cherry Blossoms (Kirschblüten - Hanami),Drama|Romance
Lights in the Dusk (Laitakaupungin valot),Crime|Drama
"Great Sinner, The",Drama
Kill Bill: Vol. 2,Action|Drama|Thriller
The Fat Albert Halloween Special,Animation
The Cobbler,Comedy|Drama|Fantasy
Hamlet,Drama
"History of Violence, A",Action|Crime|Drama|Thriller
Massacre Canyon,Western
Myn Bala: Warriors of the Steppe,Action|Adventure|Drama
"Adventures of Picasso, The (Picassos äventyr)",Comedy
"Bridge to Nowhere, The",Crime|Drama
"Horse's Mouth, The",Comedy
Mr. North,Comedy|Drama
Friday the 13th Part IV: The Final Chapter,Horror
Michael Laudrup - en Fodboldspiller,(no genres listed)
Balto: Wolf Quest ,Adventure|Animation|Children
Bombón: El Perro (El perro),Comedy|Drama
Dead Space: Aftermath,Animation|Horror|Sci-Fi
"Welcome Home, Roscoe Jenkins",Comedy
Solyaris,Drama|Sci-Fi
"Lawless Frontier, The",Romance|Western
I Love Sarah Jane,Horror|Romance
Scattered Clouds (Midaregumo),Drama
"Year and a Half in the Life of Metallica, A",Documentary|Musical
Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari),Comedy|Crime
Once Upon a Crime...,Comedy|Mystery
Aquamarine,Children|Comedy|Fantasy
It's a Great Feeling,Comedy
Dante's Inferno: An Animated Epic,Action|Animation|Fantasy
"Brothers Lionheart, The (Bröderna Lejonhjärta)",Adventure|Children|Fantasy
The House of Intrigue,Drama|War
Mallrats,Comedy|Romance
Lost Highway,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
Fandry,Children|Drama
Roustabout,Drama|Musical|Romance
Sidewalks of London (St. Martin's Lane),Comedy
Four Horsemen,Documentary
"Facing Windows (Finestra di fronte, La)",Drama|Romance
And Life Goes On (a.k.a. Life and Nothing More) (Zendegi va digar hich),Drama
They Gave Him A Gun,Crime|Drama
Stitches,Comedy|Horror
"Bridge, The",Documentary
We Bought a Zoo,Comedy|Drama
"Beaches of Agnes, The (Plages d'Agnès, Les)",Documentary
"Union: The Business Behind Getting High, The",Comedy|Documentary
Insidious: Chapter 2,Horror|Thriller
Dickson Experimental Sound Film,Musical
Relentless,Thriller
Another Happy Day,Drama
Life as We Know It,Comedy|Romance
Rocky Balboa,Action|Drama
"Mysterious Geographic Explorations of Jasper Morello, The",Adventure|Animation
False Trail (Jägarna 2),Crime|Mystery|Thriller
Comedy of Innocence (Comédie de l'innocence),Drama|Thriller
Made for Each Other,Comedy|Drama|Romance
"Low Down, The",Drama
"Slingshot, The (Kådisbellan)",Comedy|Drama
After the Rehearsal (Efter repetitionen),Drama
Getting It Right,Comedy|Drama
Silver Linings Playbook,Comedy|Drama
Conspiracy,Action|Drama|Mystery|Thriller|War
There Goes My Baby,Comedy|Drama
"Last Hard Men, The",Western
Edge of Darkness,Drama|War
Never Let Me Go,Drama|Romance|Sci-Fi
Snake in the Eagle's Shadow (Se ying diu sau),Action|Comedy
Kung Pow: Enter the Fist,Action|Comedy
"Aries Spears: Hollywood, Look I'm Smiling",Comedy
Trick or Treat,Horror
It Could Happen to You,Comedy|Drama|Romance
"Kings of Mykonos, The",Comedy
Charlie Chan Carries On,Mystery
Generation X,Action|Adventure|Sci-Fi
Modris,Drama
"Horde, The (La Horde)",Action|Horror|Thriller
Kahaani,Crime|Drama|Thriller
Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu),Action|Adventure|Animation|Children
"6th Man, The (Sixth Man, The)",Comedy
Grabbers,Comedy|Horror|Sci-Fi
When Ladies Meet,Comedy|Drama|Romance
Gunfighters,Action|Drama|Romance|Western
Silentium,Crime|Thriller
"Temptations, The",Drama|Musical
Bells from the Deep,Documentary
Lili Marleen,Drama
Sons and Lovers,Drama
"Beyond, The (E tu vivrai nel terrore - L'aldilà)",Horror
Lonely Are the Brave,Drama|Western
The Gang That Sold America,Action|Comedy
Every Girl Should Be Married,Comedy|Romance
Feast of All Saints,Drama|Romance
Ghost Dog: The Way of the Samurai,Crime|Drama
Illegal,Drama
Man in the Wilderness,Adventure|Western
"Man for All Seasons, A",Drama
Talladega Nights: The Ballad of Ricky Bobby,Action|Comedy
Dallas 362,Drama
Atragon (Kaitei Gunkan),Adventure|Sci-Fi
Family Secrets (Familjehemligheter),Drama
Phoenix,Crime|Drama
Seoul Searching,Comedy|Drama
On the Line,Comedy|Romance
"Long Absence, The (Une aussi longue absence)",Drama
War of the Dead - Stone's War ,Action|Adventure|Horror|Sci-Fi|Thriller|War
"Serbian Film, A (Srpski film)",Horror|Thriller
"Fountainhead, The",Drama
Chronos,Documentary|IMAX
Toute la mémoire du monde,Documentary
Grey Gardens,Drama
Betty,Drama
Hideous Kinky,Drama
Night of Dark Shadows,Drama|Horror|Mystery|Romance|Thriller
Midnight in Paris,Comedy|Fantasy|Romance
Aglaya,Drama
"Wild Thornberrys Movie, The",Animation|Children|Comedy
Life of Pi,Adventure|Drama|IMAX
Mystic River,Crime|Drama|Mystery
"Violent Years, The",Drama
For Ever Mozart,Drama
Parade,Children|Comedy
"Girl, Interrupted",Drama
Blood Suckers from Outer Space,Comedy|Horror|Sci-Fi
"Three Lives of Thomasina, The",Children|Drama
Tanguy,Comedy
"Twelve Chairs, The",Comedy
The Forgotten Woman,Documentary
"Main Event, The",Comedy
"Last Godfather, The",Comedy
Battle Royale (Batoru rowaiaru),Action|Drama|Horror|Thriller
"Dark Tower, The",Drama|Thriller
"Go-Getter, The",Comedy|Drama
A Cinderella Story: Once Upon a Song,Children|Comedy|Romance
The Remaining,Horror|Thriller
Losing Chase,Drama
Soft Fruit,Comedy|Drama
Scorched,Comedy|Crime
Godzilla vs. Destroyah (Gojira vs. Desutoroiâ) ,Action|Sci-Fi
Iron Maiden: Flight 666,Documentary
"Fear, The",Horror
Ladybug Ladybug ,Drama
Magnum Cop,Thriller
Best of the Best,Action
"Get2Gether, A",Comedy
Penitentiary II,Drama
"Land Girls, The",Drama|War
Is It Easy to be Young?,Documentary|Drama
Love Before Breakfast,Comedy|Romance
Ballermann 6,Comedy
"King of Marvin Gardens, The",Crime|Drama
Night Moves,Crime|Thriller
"Man Without a Face, The",Drama
Good Burger,Children|Comedy
90 Minutes (90 minutter),Drama
Stars in My Crown,Drama|Western
Rugrats Go Wild!,Adventure|Animation|Children|Comedy
Manson,Documentary
Pushing Hands (Tui shou),Drama
"Muriel, or The Time of Return (Muriel ou Le temps d'un retour)",Drama
"Ketchup Effect, The (Hip Hip Hora!)",Drama
Ball of Fire,Comedy|Romance
"Hangover Part II, The",Comedy
Block-Heads,Comedy|War
Made,Comedy
Woman in Love (Rubbeldiekatz),Comedy
"Scotland, Pa.",Comedy|Crime
Hanging Up,Comedy|Drama
Mad Money,Comedy|Crime|Thriller
"Promised Life, The (Vie promise, La)",Drama
Manual of Love 2 (Manuale d'amore (capitoli successivi)),Comedy|Romance
McConkey,Adventure|Documentary
Counsellor at Law,Drama
Best of the Badmen,Western
"Long Good Friday, The",Drama|Thriller
An American Tail: The Mystery of the Night Monster,Adventure|Animation|Children|Fantasy|Mystery|Sci-Fi
Johnny Apollo,Crime|Drama|Film-Noir|Romance
Cake,Comedy|Romance
"MatchMaker, The",Comedy|Romance
Ghoulies III: Ghoulies Go to College,Comedy|Horror
Black Eagle,Action|Drama
Slumdog Millionaire,Crime|Drama|Romance
Blink,Thriller
Voyage to the Prehistoric Planet,Adventure|Sci-Fi
Ready to Wear (Pret-A-Porter),Comedy
Quill,Drama
No One Lives,Horror|Thriller
Missing in Action 2: The Beginning,Action|War
Friday the 13th,Horror|Mystery|Thriller
Presenting Lily Mars,Comedy|Musical|Romance
Steam of Life (Miesten vuoro),Documentary
Crime Busters,Action|Adventure|Comedy|Crime
"Sorcerer and the White Snake, The (Bai she chuan shuo)",Action|Fantasy|Romance
Concrete Night (Betoniyö),Drama
Me Myself I,Comedy|Romance
My Louisiana Sky,Drama
Baby Mama,Comedy
Black Butterflies,Drama
Here Comes the Groom,Comedy|Musical|Romance
"Song Is Born, A",Comedy|Musical
Love Serenade,Comedy
Starry starry night (Xing kong),Children|Drama|Fantasy
Genghis Khan,Adventure|Drama|War
Under the Rainbow,Comedy
Equinox Flower (Higanbana),Comedy|Drama
Loft (Rofuto),Horror
Prick Up Your Ears,Comedy|Drama
Kuffs,Action|Comedy|Crime
Lola Versus,Comedy|Romance
Bush's Brain,Documentary
Summer Storm (Sommersturm),Drama|Romance
Carne,Drama|Thriller
The Seven Males,Comedy|Western
"Child, The",Thriller
Gantz: Perfect Answer,Action|Mystery|Sci-Fi
Salla: Selling the Silence,Documentary
"Mosquito Coast, The",Adventure|Drama|Thriller
Network,Comedy|Drama
Little Criminals,Crime|Drama
"Over-Eater, The (L'outremangeur)",Crime|Drama
I Will Fight No More Forever,Action|Drama|War|Western
Campus Man,Comedy
Chain Reaction,Horror
Phoenix,Drama
Eros (Men and Women) (Noite Vazia),Drama
Butterfly Kiss,Drama|Thriller
Suez,Drama|Romance
Wanda Sykes: Sick and Tired,Comedy|Documentary
Jerusalem Countdown,Thriller
"Virginity Hit, The",Comedy
My Dear Desperado,Comedy
"Inheritors, The (Siebtelbauern, Die)",Drama|Mystery
Ridicule,Drama
Empire,Crime|Drama
The Admirable Crichton,Comedy
Let It Be,Documentary
